Master Clock,RT Clock,NON-RT Clock,N_RT,N_NON-RT,SCL,Server Status
49.07,49.83,51.74,0,1,49.07,0
49.07,49.83,51.74,0,0,51.38,2
49.83,49.97,51.74,0,0,49.87,1
49.97,55.26,51.74,0,0,52.88,1
51.74,55.26,65.51,0,1,51.74,0
51.74,55.26,65.51,0,0,52.14,2
55.26,56.11,65.51,0,0,56.76,1
56.11,66.92,65.51,0,0,67.08,1
65.51,66.92,69.77,0,1,65.51,0
65.51,66.92,69.77,0,0,66.49,2
66.92,67.69,69.77,0,0,67.99,1
67.69,69.41,69.77,0,0,71.98,1
69.41,80.94,69.77,0,0,70.73,1
69.77,80.94,80.89,0,1,69.77,0
69.77,80.94,80.89,0,0,70.43,2
80.89,80.94,87.7,0,1,80.89,0
80.89,80.94,87.7,0,0,82.59,2
80.94,82.14,87.7,0,0,87.06,1
82.14,88.4,87.7,0,0,90.64,1
87.7,88.4,92.05,0,1,87.7,0
87.7,88.4,92.05,0,0,89.12,2
88.4,107.46,92.05,0,0,91.84,1
92.05,107.46,117.84,0,1,92.05,0
92.05,107.46,117.84,0,0,92.53,2
107.46,108.65,117.84,0,0,108.88,1
108.65,120.9,117.84,0,0,110.23,1
117.84,120.9,143.72,0,1,117.84,0
117.84,120.9,143.72,0,0,119.17,2
120.9,128.73,143.72,0,0,121.65,1
128.73,131.55,143.72,0,0,132.37,1
131.55,134.77,143.72,0,0,132.54,1
134.77,144.71,143.72,0,0,138.53,1
143.72,144.71,144.3,0,1,143.72,0
143.72,144.71,144.3,0,0,146.75,2
144.3,144.71,148.02,0,1,144.3,0
144.3,144.71,148.02,0,0,148.88,2
144.71,152.23,148.02,0,0,154.73,1
148.02,152.23,150.9,0,1,148.02,0
148.02,152.23,150.9,0,0,149.64,2
150.9,152.23,170.83,0,1,150.9,0
150.9,152.23,170.83,0,0,153.41,2
152.23,154.55,170.83,0,0,161.31,1
154.55,155.71,170.83,0,0,163.72,1
155.71,155.84,170.83,0,0,157.63,1
155.84,164.05,170.83,0,0,158.74,1
164.05,171.8,170.83,0,0,164.5,1
170.83,171.8,196.8,0,1,170.83,0
170.83,171.8,196.8,0,0,171.4,2
171.8,178.15,196.8,0,0,184.61,1
178.15,178.66,196.8,0,0,189.56,1
178.66,186.1,196.8,0,0,184.57,1
186.1,194.77,196.8,0,0,186.64,1
194.77,194.86,196.8,0,0,204.87,1
194.86,197.13,196.8,0,0,196.26,1
196.8,197.13,207.59,0,1,196.8,0
196.8,197.13,207.59,0,0,202.11,2
197.13,198.05,207.59,0,0,200.19,1
198.05,199.7,207.59,0,0,200.77,1
199.7,201.4,207.59,0,0,200.33,1
